,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
586,1996,6,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,1996-05-19,,http://en.wikipedia.org/wiki/1996_Monaco_Grand_Prix
587,1996,7,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,1996-06-02,,http://en.wikipedia.org/wiki/1996_Spanish_Grand_Prix
588,1996,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,1996-06-16,,http://en.wikipedia.org/wiki/1996_Canadian_Grand_Prix
589,1996,9,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,1996-06-30,,http://en.wikipedia.org/wiki/1996_French_Grand_Prix
590,1996,10,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1996-07-14,,http://en.wikipedia.org/wiki/1996_British_Grand_Prix
591,1996,11,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,1996-07-28,,http://en.wikipedia.org/wiki/1996_German_Grand_Prix
592,1996,12,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,1996-08-11,,http://en.wikipedia.org/wiki/1996_Hungarian_Grand_Prix
593,1996,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1996-08-25,,http://en.wikipedia.org/wiki/1996_Belgian_Grand_Prix
594,1996,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1996-09-08,,http://en.wikipedia.org/wiki/1996_Italian_Grand_Prix
595,1996,15,Portuguese Grand Prix,estoril,Autódromo do Estoril,38.7506,-9.39417,Estoril,Portugal,1996-09-22,,http://en.wikipedia.org/wiki/1996_Portuguese_Grand_Prix
596,1996,16,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,1996-10-13,,http://en.wikipedia.org/wiki/1996_Japanese_Grand_Prix
597,1997,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1997-03-09,,http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix
598,1997,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,1997-03-30,,http://en.wikipedia.org/wiki/1997_Brazilian_Grand_Prix
599,1997,3,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,1997-04-13,,http://en.wikipedia.org/wiki/1997_Argentine_Grand_Prix
600,1997,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,1997-04-27,,http://en.wikipedia.org/wiki/1997_San_Marino_Grand_Prix
601,1997,5,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,1997-05-11,,http://en.wikipedia.org/wiki/1997_Monaco_Grand_Prix
602,1997,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,1997-05-25,,http://en.wikipedia.org/wiki/1997_Spanish_Grand_Prix
603,1997,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,1997-06-15,,http://en.wikipedia.org/wiki/1997_Canadian_Grand_Prix
604,1997,8,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,1997-06-29,,http://en.wikipedia.org/wiki/1997_French_Grand_Prix
605,1997,9,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1997-07-13,,http://en.wikipedia.org/wiki/1997_British_Grand_Prix
606,1997,10,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,1997-07-27,,http://en.wikipedia.org/wiki/1997_German_Grand_Prix
607,1997,11,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,1997-08-10,,http://en.wikipedia.org/wiki/1997_Hungarian_Grand_Prix
608,1997,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1997-08-24,,http://en.wikipedia.org/wiki/1997_Belgian_Grand_Prix
609,1997,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1997-09-07,,http://en.wikipedia.org/wiki/1997_Italian_Grand_Prix
610,1997,14,Austrian Grand Prix,red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,1997-09-21,,http://en.wikipedia.org/wiki/1997_Austrian_Grand_Prix
611,1997,15,Luxembourg Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,1997-09-28,,http://en.wikipedia.org/wiki/1997_Luxembourg_Grand_Prix
612,1997,16,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,1997-10-12,,http://en.wikipedia.org/wiki/1997_Japanese_Grand_Prix
613,1997,17,European Grand Prix,jerez,Circuito de Jerez,36.7083,-6.03417,Jerez de la Frontera,Spain,1997-10-26,,http://en.wikipedia.org/wiki/1997_European_Grand_Prix
