,season,constructorId,name,nationality
385,1971,bellasi,Bellasi,Swiss
386,1971,brabham,Brabham,British
387,1971,brm,BRM,British
388,1971,ferrari,Ferrari,Italian
389,1971,lotus-ford,Lotus-Ford,British
390,1971,lotus-pw,Lotus-Pratt &amp; Whitney,British
391,1971,march-alfa_romeo,March-Alfa Romeo,British
392,1971,march-ford,March-Ford,British
393,1971,matra,Matra,French
394,1971,mclaren,McLaren,British
395,1971,surtees,Surtees,British
396,1971,tyrrell,Tyrrell,British
397,1972,brabham,Brabham,British
398,1972,brm,BRM,British
399,1972,connew,Connew,British
400,1972,ferrari,Ferrari,Italian
401,1972,march,March,British
402,1972,matra,Matra,French
403,1972,mclaren,McLaren,British
404,1972,politoys,Politoys,British
405,1972,surtees,Surtees,British
406,1972,team_lotus,Team Lotus,British
407,1972,tecno,Tecno,Italian
408,1972,tyrrell,Tyrrell,British
409,1973,brabham,Brabham,British
410,1973,brm,BRM,British
411,1973,ensign,Ensign,British
412,1973,ferrari,Ferrari,Italian
413,1973,iso_marlboro,Iso Marlboro,British
414,1973,march,March,British
415,1973,mclaren,McLaren,British
416,1973,shadow,Shadow,British
417,1973,surtees,Surtees,British
418,1973,team_lotus,Team Lotus,British
419,1973,tecno,Tecno,Italian
420,1973,tyrrell,Tyrrell,British
421,1974,amon,Amon,New Zealander
422,1974,brabham,Brabham,British
423,1974,brm,BRM,British
424,1974,ensign,Ensign,British
425,1974,ferrari,Ferrari,Italian
426,1974,hesketh,Hesketh,British
427,1974,iso_marlboro,Iso Marlboro,British
428,1974,lola,Lola,British
429,1974,lyncar,Lyncar,British
430,1974,maki,Maki,Japanese
431,1974,march,March,British
432,1974,mclaren,McLaren,British
433,1974,parnelli,Parnelli,American
434,1974,penske,Penske,American
435,1974,shadow,Shadow,British
436,1974,surtees,Surtees,British
437,1974,team_lotus,Team Lotus,British
438,1974,token,Token,British
439,1974,trojan,Trojan,British
440,1974,tyrrell,Tyrrell,British
441,1975,brabham,Brabham,British
442,1975,brm,BRM,British
443,1975,hill,Embassy Hill,British
444,1975,ensign,Ensign,British
445,1975,ferrari,Ferrari,Italian
446,1975,fittipaldi,Fittipaldi,Brazilian
447,1975,hesketh,Hesketh,British
448,1975,lola,Lola,British
449,1975,lyncar,Lyncar,British
450,1975,maki,Maki,Japanese
451,1975,march,March,British
452,1975,mclaren,McLaren,British
453,1975,parnelli,Parnelli,American
454,1975,penske,Penske,American
455,1975,shadow-ford,Shadow-Ford,British
456,1975,shadow-matra,Shadow-Matra,British
457,1975,surtees,Surtees,British
458,1975,team_lotus,Team Lotus,British
459,1975,tyrrell,Tyrrell,British
460,1975,williams,Williams,British
461,1976,boro,Boro,Dutch
462,1976,brabham-alfa_romeo,Brabham-Alfa Romeo,British
463,1976,brabham-ford,Brabham-Ford,British
464,1976,brm,BRM,British
465,1976,ensign,Ensign,British
466,1976,ferrari,Ferrari,Italian
467,1976,fittipaldi,Fittipaldi,Brazilian
468,1976,hesketh,Hesketh,British
469,1976,kojima,Kojima,Japanese
470,1976,ligier,Ligier,French
471,1976,maki,Maki,Japanese
472,1976,march,March,British
473,1976,mclaren,McLaren,British
474,1976,parnelli,Parnelli,American
475,1976,penske,Penske,American
476,1976,shadow,Shadow,British
477,1976,surtees,Surtees,British
478,1976,team_lotus,Team Lotus,British
479,1976,tyrrell,Tyrrell,British
480,1976,williams,Williams,British
481,1976,wolf,Wolf,Canadian
482,1977,apollon,Apollon,Swiss
483,1977,boro,Boro,Dutch
484,1977,brabham,Brabham,British
485,1977,brm,BRM,British
486,1977,ensign,Ensign,British
487,1977,ferrari,Ferrari,Italian
488,1977,fittipaldi,Fittipaldi,Brazilian
489,1977,hesketh,Hesketh,British
490,1977,kojima,Kojima,Japanese
491,1977,lec,LEC,British
492,1977,ligier,Ligier,French
493,1977,march,March,British
494,1977,mcguire,McGuire,Australian
495,1977,mclaren,McLaren,British
496,1977,penske,Penske,American
497,1977,renault,Renault,French
498,1977,shadow,Shadow,British
499,1977,surtees,Surtees,British
500,1977,team_lotus,Team Lotus,British
501,1977,tyrrell,Tyrrell,British
502,1977,wolf,Wolf,Canadian
503,1978,arrows,Arrows,British
504,1978,ats,ATS,Italian
505,1978,brabham,Brabham,British
506,1978,ensign,Ensign,British
507,1978,ferrari,Ferrari,Italian
508,1978,fittipaldi,Fittipaldi,Brazilian
509,1978,hesketh,Hesketh,British
510,1978,ligier,Ligier,French
511,1978,martini,Martini,French
512,1978,mclaren,McLaren,British
513,1978,merzario,Merzario,Italian
514,1978,renault,Renault,French
515,1978,shadow,Shadow,British
516,1978,surtees,Surtees,British
517,1978,team_lotus,Team Lotus,British
518,1978,theodore,Theodore,Hong Kong
519,1978,tyrrell,Tyrrell,British
520,1978,williams,Williams,British
521,1978,wolf,Wolf,Canadian
522,1979,alfa,Alfa Romeo,Swiss
523,1979,arrows,Arrows,British
524,1979,ats,ATS,Italian
525,1979,brabham-alfa_romeo,Brabham-Alfa Romeo,British
526,1979,brabham-ford,Brabham-Ford,British
527,1979,ensign,Ensign,British
528,1979,ferrari,Ferrari,Italian
